Account,total_pnl,avg_pnl,pnl_std,total_volume,avg_trade_size,num_wins,num_closed_trades,total_fees,first_trade,last_trade,win_rate,net_pnl,trading_days
0xb1231a4a2dd02f2276fa3c5e2a2f3436e6bfed23,2143382.597689,145.48174829898866,1374.0264020518678,56543565.23,3837.885375008484,4967,6279,15995.31825182,2023-12-05,2025-05-01,79.1049530179965,2127387.27943718,513
0x083384f897ee0f19899168e3b1bec365f52a9012,1600229.819979,419.1277684596647,4692.452328769463,61697263.97,16159.57673389209,1373,1732,7405.312304,2024-11-11,2025-04-12,79.27251732101617,1592824.507675,152
0xbaaaf6571ab7d571043ff1e313a9609a10637864,940163.80622,44.364090516232544,567.7627628499143,68036340.24,3210.472831257078,9909,9997,8596.705666219,2024-12-28,2025-05-01,99.11973592077624,931567.100553781,124
0xbee1707d6b44d4d52bfe19e41f8a828645437aab,836080.553077,20.806304824731235,264.1238803160226,74107810.44,1844.2118863229146,17208,22551,13352.89970895,2024-12-08,2025-05-01,76.30703738193428,822727.65336805,144
0x513b8629fe877bb581bf244e326a047b249c4ff1,840422.555216,68.68441935403726,639.4024436908079,420876556.36,34396.58028440667,4909,5482,76424.64289169,2024-12-09,2025-05-01,89.54761036118205,763997.9123243099,143
0x4acb90e786d897ecffb614dc822eb231b4ffb9f4,677747.050643,155.58931373806246,855.3540027082513,39572949.25,9084.699093204776,2118,2233,8025.99239419,2024-12-14,2025-04-30,94.8499776085983,669721.05824881,137
0x72743ae2822edd658c0c50608fd7c5c501b2afbd,429355.565915,270.0349471163522,2525.2404372348287,11474500.92,7216.667245283019,550,737,1551.43726629,2024-12-17,2025-04-25,74.6268656716418,427804.12864871,129
0x430f09841d65beb3f27765503d0f850b8bce7713,416541.872341,336.735547567502,1649.4975803457908,2966109.22,2397.824753435732,599,599,747.006931,2024-04-20,2025-04-29,100.0,415794.86541,374
0x72c6a4624e1dffa724e6d00d64ceae698af892a0,403011.504159,281.8262266846154,1591.523957653427,3051144.33,2133.6673636363635,438,564,290.01104816,2024-09-20,2025-04-21,77.6595744680851,402721.49311084,213
0x75f7eeb85dc639d5e99c78f95393aa9a5f1170d4,379095.406711,38.3195599627009,172.52077341762578,25729497.24,2600.7780491256444,8022,8660,2595.25914168,2024-01-19,2025-04-28,92.63279445727483,376500.14756932,465
0x4f93fead39b70a1824f981a54d4e55b278e9f760,308975.869716,40.740489150316456,656.6936282172401,129672529.28,17098.171054852322,2733,2949,40724.467403,2024-03-13,2025-05-01,92.67548321464903,268251.402313,414
0xbd5fead7180a9c139fa51a103cb6a2ce86ddb5c3,220519.061853,83.49831952025748,1530.5250331047494,20737391.71,7852.098337750852,865,1177,4773.09848443,2024-12-10,2025-05-01,73.49192863211555,215745.96336857,142
0x420ab45e0bd8863569a5efbb9c05d91f40624641,199505.592732,520.9023308929503,2228.336140282739,1987527.6099999999,5189.367127937337,90,90,267.967088979,2024-12-06,2025-04-10,100.0,199237.625643021,125
0x2c229d22b100a7beb69122eed721cee9b24011dd,168658.004994,52.0710111126891,255.82909123366827,10166880.2,3138.894782340228,1684,2060,3108.196722,2024-10-31,2025-04-25,81.74757281553397,165549.808272,176
0x28736f43f1e871e6aa8b1148d38d4994275d72c4,132464.814554,9.951529904139434,113.26935264594304,6757022.1,507.6269326121253,5838,6772,2218.3673664509,2024-11-16,2025-05-01,86.20791494388659,130246.44718754911,166
0x92f17e8d81a944691c10e753af1b1baae1a2cd0d,126578.942134,41.47409637418087,220.3877348338997,10992355.74,3601.689298820446,871,892,2821.95879926,2024-12-13,2025-04-23,97.6457399103139,123756.98333474,131
0x6d6a4b953f202f8df5bed40692e7fd865318264a,108731.216772,111.51919668923077,468.9959817825797,728057.51,746.7256512820513,421,426,186.8360769324,2024-12-11,2025-04-26,98.82629107981221,108544.3806950676,136
